name,rating,rating_norm,price_range,is_sponsored,latitude,longitude,has_delivery,is_premium,reviews,reviews_rating_1,reviews_rating_2,reviews_rating_3,reviews_rating_4,reviews_rating_5,IsIn_MICHELIN_Guide,num_cuisines,Italian,American,Chinese,Healthy,Seafood,Middle Eastern,International,Indian,Central Asian,Bar,European,Pizza,Asian,Latin,Japanese,Cafe,British,French,Fast Food,African,Vegan,Halal/Kosher,Gluten-free,Vegetarian friendly,The menu does not match the diets,Parking,Free Wifi,Dog Friendly,Options for PWD, Has Diff Payment Options,Family,Good Location,Gift Cards,Alcohol,Reservations,Has Diff Dining Services,Entertainment
The Ivy City Garden,4.0,-0.32814924561338926,$$ - $$$,False,51.51671,-0.082569,False,False,1248,43.0,90.0,121.0,281.0,713.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,1,1,0,0,1,1,1,1,0
The Goat Tavern,4.5,0.7211120136822641,$$ - $$$,False,51.508865,-0.141265,False,False,198,11.0,4.0,17.0,53.0,113.0,0.0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,1,1,0,0,1,1,1,1
The Ivy,4.0,-0.32814924561338926,$$$$,False,51.512833,-0.128076,False,False,7427,303.0,420.0,891.0,1803.0,4010.0,0.0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,1,1,0
Bar Douro London Bridge,4.5,0.7211120136822641,$$ - $$$,False,51.504406,-0.095385,False,False,302,8.0,12.0,18.0,76.0,188.0,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,1,1,0
Sky Pod Bar,4.5,0.7211120136822641,$$ - $$$,False,51.511192,-0.083558,False,False,2506,71.0,77.0,137.0,432.0,1788.0,0.0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,1,1,0,0,0,1,1,1,1
Elaine's London,5.0,1.7703732729779174,$$ - $$$,False,51.515995,-0.119731,False,False,90,0.0,0.0,1.0,9.0,81.0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0
Le Cafe du Marche,4.0,-0.32814924561338926,$$ - $$$,False,51.520596,-0.100708,False,False,458,10.0,21.0,40.0,166.0,221.0,0.0,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,1
Avanti Chiswick,4.5,0.7211120136822641,$$ - $$$,True,51.496357,-0.255952,True,True,140,5.0,6.0,10.0,24.0,95.0,0.0,4,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,1,1,0
The Piano Works - Covent Garden,4.0,-0.32814924561338926,$$ - $$$,False,51.51535,-0.122341,False,False,479,73.0,35.0,43.0,47.0,281.0,0.0,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,1
La Mia Mamma,4.0,-0.32814924561338926,$$ - $$$,False,51.486076,-0.172162,False,False,525,58.0,30.0,27.0,51.0,359.0,0.0,6,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,1,1,1,0
Bella Italia South Kensington,4.0,-0.32814924561338926,$$ - $$$,False,51.49308,-0.176563,True,False,1178,75.0,59.0,114.0,201.0,729.0,0.0,4,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,0,0,0,1,1,1,0
Flat Iron Shoreditch,4.5,0.7211120136822641,$$ - $$$,False,51.524963,-0.0804,False,False,731,15.0,12.0,29.0,137.0,538.0,0.0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,1,0
Afternoon Tea At The Montague On The Gardens,4.5,0.7211120136822641,$$ - $$$,False,51.520283,-0.125565,False,False,300,4.0,14.0,18.0,64.0,200.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,1,1,0,0,1,1,1,1
La Petite Auberge,4.5,0.7211120136822641,$$ - $$$,False,51.53987,-0.1025,True,False,649,16.0,15.0,63.0,183.0,373.0,0.0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,0,0,1,1,1,0
Cento Alla Torre,4.5,0.7211120136822641,$$ - $$$,False,51.51018,-0.075285,False,False,452,10.0,11.0,9.0,58.0,365.0,0.0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,1,0,0,1,1,1,0
"OXO Tower Restaurant, Bar and Brasserie",4.5,0.7211120136822641,$$$$,False,51.50845,-0.108266,False,False,10091,240.0,431.0,1120.0,2992.0,5309.0,0.0,5,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,1,1,0,0,1,1,1,1,0
Pierino,4.5,0.7211120136822641,$$ - $$$,False,51.49508,-0.173977,False,False,1411,48.0,44.0,121.0,464.0,734.0,0.0,10,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,1,1,0
Smoking Goat Shoreditch,4.0,-0.32814924561338926,$$ - $$$,False,51.524254,-0.076996,False,False,420,28.0,52.0,56.0,94.0,190.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0
Ognisko Restaurant,4.5,0.7211120136822641,$$ - $$$,False,51.499077,-0.173974,False,False,888,23.0,23.0,56.0,220.0,566.0,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,1,1,0
Canada Water Cafe,4.5,0.7211120136822641,$$ - $$$,False,51.49876,-0.049143,True,False,658,30.0,35.0,49.0,120.0,424.0,0.0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,0,0,0,1,1,1,0
Bar + Block Steakhouse London Hammersmith,4.5,0.7211120136822641,$$ - $$$,False,51.493782,-0.223736,False,False,273,18.0,12.0,11.0,28.0,204.0,0.0,4,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0
The Cadogan Arms,4.0,-0.32814924561338926,$$ - $$$,False,51.486008,-0.17294,False,False,109,9.0,13.0,12.0,6.0,69.0,0.0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0
Uzumaki London,5.0,1.7703732729779174,$$ - $$$,False,51.517544,-0.129239,False,False,630,4.0,0.0,10.0,50.0,571.0,0.0,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,1,0
Greencoat Boy,4.5,0.7211120136822641,$$ - $$$,True,51.496414,-0.135764,False,False,350,20.0,10.0,24.0,72.0,224.0,0.0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,1,1,1,0
Verdi - Italian Kitchen,4.5,0.7211120136822641,$$ - $$$,False,51.500748,-0.177405,False,False,1861,47.0,95.0,170.0,462.0,1087.0,0.0,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,1,1,1,1
Chop Chop,5.0,1.7703732729779174,$$ - $$$,False,51.51146,-0.128948,False,True,429,5.0,1.0,4.0,21.0,398.0,0.0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,1,0,0,1,1,1,0
Comptoir Libanais London Bridge,4.5,0.7211120136822641,$$ - $$$,False,51.504696,-0.083912,True,False,454,29.0,20.0,25.0,49.0,331.0,0.0,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,1,1,1,0
The Bike Shed,4.5,0.7211120136822641,$$ - $$$,False,51.527115,-0.078876,False,False,754,16.0,26.0,56.0,179.0,477.0,0.0,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,1,0,1,1,0,0,0,1,1,1,0
Buddha Taste,5.0,1.7703732729779174,$$ - $$$,True,51.4676,0.007758,False,True,7,0.0,0.0,0.0,1.0,6.0,0.0,5,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,1,1,1,0
Il Bordello,4.5,0.7211120136822641,$$ - $$$,False,51.506615,-0.052638,True,False,1024,48.0,43.0,72.0,220.0,641.0,0.0,4,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,1,1,0,1,1,1,1,0
Riding House Fitzrovia,4.0,-0.32814924561338926,$$ - $$$,False,51.518314,-0.140572,False,False,1563,97.0,163.0,226.0,487.0,590.0,0.0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,1,1,0,0,0,1,1,1,0
The Ivy Kensington Brasserie,4.0,-0.32814924561338926,$$ - $$$,False,51.501488,-0.192334,False,False,1914,133.0,149.0,243.0,475.0,914.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,1,1,0,0,1,1,1,1,0
The Library at County Hall,4.5,0.7211120136822641,$$ - $$$,False,51.501575,-0.119523,False,True,1493,25.0,38.0,69.0,158.0,1203.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,1,1,0,1,1,0,0,1,1,1,1,0
Monmouth Kitchen,4.5,0.7211120136822641,$$ - $$$,False,51.514076,-0.127036,False,False,1958,30.0,41.0,92.0,302.0,1493.0,0.0,4,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,0,0,0,1,1,1,1
The Portrait Restaurant By Richard Corrigan ,4.5,0.7211120136822641,$$ - $$$,False,51.509224,-0.12759,False,False,114,3.0,4.0,11.0,20.0,76.0,0.0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,1,1,0,0,0,1,1,1,0
The Ship - Wandsworth,4.0,-0.32814924561338926,$$ - $$$,False,51.463654,-0.188055,False,False,572,53.0,40.0,56.0,154.0,269.0,0.0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,1,1,0
Grounded,4.5,0.7211120136822641,$$ - $$$,False,51.516373,-0.069304,False,False,409,21.0,12.0,13.0,76.0,287.0,0.0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0
German Gymnasium Grand Café & Restaurant,4.0,-0.32814924561338926,$$ - $$$,False,51.53242,-0.125268,False,False,3089,140.0,193.0,427.0,862.0,1468.0,0.0,5,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,1,1,1,1,0
St. John,4.0,-0.32814924561338926,$$ - $$$,False,51.52047,-0.101481,False,False,1217,61.0,97.0,154.0,324.0,581.0,0.0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0
Faros Oxford Circus,5.0,1.7703732729779174,$$ - $$$,True,51.516567,-0.140969,False,False,211,1.0,1.0,3.0,12.0,194.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1,1,1,0,0,1,1,1,0
Barge East Restaurant,4.5,0.7211120136822641,$$ - $$$,False,51.542187,-0.021024,False,False,865,23.0,16.0,27.0,58.0,741.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1
Cafe In The Crypt,4.0,-0.32814924561338926,$,False,51.509037,-0.126735,False,False,2461,78.0,115.0,312.0,1074.0,882.0,0.0,4,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,1,0,1,1,0,0,0,1,0,1,1
Luciano By Gino D'Acampo,4.0,-0.32814924561338926,$$ - $$$,False,51.512157,-0.11859,False,False,615,69.0,60.0,82.0,53.0,351.0,0.0,7,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,1,1,1,1,0
The Blackfriar,4.0,-0.32814924561338926,$$ - $$$,False,51.51213,-0.10371,False,False,1491,62.0,50.0,119.0,546.0,714.0,0.0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,1,1,0
Darwin Brasserie,4.5,0.7211120136822641,$$ - $$$,False,51.511185,-0.083557,False,False,8460,232.0,333.0,662.0,1730.0,5506.0,0.0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,1,1,1
Kitty Hawk Rooftop Bar & Restaurant,5.0,1.7703732729779174,$$ - $$$,False,51.509315,-0.126847,False,False,39,0.0,1.0,1.0,0.0,37.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,1,1,1,0
Fenchurch Restaurant,4.5,0.7211120136822641,$$$$,False,51.511215,-0.08355,True,False,1695,76.0,88.0,161.0,349.0,1021.0,0.0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,1,1,0,0,0,1,1,1,1
The Print House at Jim & Tonic East,4.0,-0.32814924561338926,$$ - $$$,False,51.53238,-0.008933,False,False,107,13.0,12.0,5.0,15.0,62.0,0.0,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,1,1,1
"The Red Lion, Parliament Street",4.0,-0.32814924561338926,$$ - $$$,False,51.502056,-0.125642,False,False,1673,118.0,48.0,179.0,664.0,664.0,0.0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1,0
Delamina EAST,4.5,0.7211120136822641,$$ - $$$,False,51.52119,-0.07554,True,False,465,7.0,9.0,22.0,93.0,334.0,0.0,4,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1,1,0,0,0,1,1,1,0
El Pirata of Mayfair,4.5,0.7211120136822641,$$ - $$$,False,51.505146,-0.148217,True,False,1066,28.0,37.0,100.0,351.0,550.0,0.0,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0
Fallow St James's,4.0,-0.32814924561338926,$$ - $$$,False,51.50941,-0.132784,False,False,506,33.0,38.0,54.0,66.0,316.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0
Tattu London,4.5,0.7211120136822641,$$$$,False,51.515617,-0.129925,False,True,2221,54.0,46.0,51.0,140.0,1930.0,0.0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,0,0,1,1,1,1,0
Candella,4.5,0.7211120136822641,$$ - $$$,False,51.50408,-0.191919,False,False,237,16.0,5.0,18.0,42.0,156.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0
Bar + Block Steakhouse London Kings Cross,4.5,0.7211120136822641,$$ - $$$,False,51.531868,-0.122159,False,False,1508,69.0,77.0,95.0,239.0,1028.0,0.0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,1,1,1,0
Fitzrovia,4.5,0.7211120136822641,$$ - $$$,True,51.5198,-0.134695,False,False,250,10.0,10.0,14.0,40.0,176.0,0.0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,1,1,1,0,0,1,1,1,1
The India 3 - Best of the City,5.0,1.7703732729779174,$$ - $$$,False,51.51034,-0.083409,False,True,313,1.0,6.0,6.0,31.0,269.0,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0
Mango Indian,4.5,0.7211120136822641,$$ - $$$,False,51.505028,-0.092887,False,False,616,31.0,18.0,40.0,143.0,384.0,0.0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,1,0,0,1,1,1,1,0
Cacio & Pepe,4.5,0.7211120136822641,$$ - $$$,False,51.491188,-0.139249,False,False,536,12.0,17.0,39.0,127.0,341.0,0.0,6,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,0,0,0,1,1,1,0
Ciao Bella Restaurant,4.0,-0.32814924561338926,$$ - $$$,False,51.52293,-0.11913,False,False,1447,70.0,64.0,133.0,431.0,749.0,0.0,4,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,1,1,1
Palm Court Brasserie,4.5,0.7211120136822641,$$ - $$$,False,51.51184,-0.1242,False,False,3102,65.0,106.0,222.0,884.0,1825.0,0.0,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,0,0,1,1,1,1
Forty Dean Street,4.0,-0.32814924561338926,$$ - $$$,True,51.51335,-0.132207,False,True,728,58.0,46.0,66.0,220.0,338.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0
Jamie Oliver Catherine St,4.0,-0.32814924561338926,$$ - $$$,False,51.512615,-0.120114,False,False,212,15.0,40.0,30.0,25.0,103.0,0.0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,1,0
Bustronome London,5.0,1.7703732729779174,$$$$,False,51.50806,-0.12141,False,True,522,6.0,2.0,9.0,34.0,472.0,0.0,6,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,1,1,1,0
BOKAN 38 Bar,4.0,-0.32814924561338926,$$ - $$$,False,51.501186,-0.023297,False,False,196,19.0,18.0,9.0,20.0,130.0,0.0,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,1,1,0
Lemonia Greek,4.0,-0.32814924561338926,$$ - $$$,False,51.541645,-0.156916,False,False,1108,53.0,74.0,126.0,359.0,496.0,0.0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,1,1,0
Opera Tavern,4.5,0.7211120136822641,$$ - $$$,False,51.51258,-0.120274,False,False,1298,31.0,41.0,128.0,375.0,723.0,0.0,4,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,1,1,1,0
Smokestak,4.5,0.7211120136822641,$$ - $$$,False,51.523746,-0.072912,False,False,876,40.0,46.0,78.0,172.0,540.0,1.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,1,0
Bill's London Bridge,4.0,-0.32814924561338926,$$ - $$$,False,51.50697,-0.091532,False,False,1273,60.0,72.0,125.0,307.0,712.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,1,1,1,0,0,1,1,1,1,0
Trullo,4.0,-0.32814924561338926,$$ - $$$,False,51.546246,-0.101685,False,False,671,24.0,59.0,75.0,170.0,343.0,1.0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0
The Ivy Tower Bridge,3.5,-1.3774105049090426,$$ - $$$,False,51.504078,-0.07692,False,False,2024,241.0,249.0,278.0,382.0,874.0,0.0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,1,0,1,1,0,0,1,1,1,1,0
Cicchetti,4.5,0.7211120136822641,$$ - $$$,False,51.509468,-0.135013,True,False,3885,173.0,172.0,296.0,910.0,2334.0,0.0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,0,0,1,1,1,1,0
Sen Viet,4.5,0.7211120136822641,$,False,51.529163,-0.11584,False,False,724,18.0,22.0,36.0,216.0,432.0,0.0,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0
The Italian Greyhound,4.5,0.7211120136822641,$$ - $$$,False,51.514416,-0.161126,False,False,672,16.0,24.0,58.0,167.0,407.0,0.0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,0,0,0,1,1,1,0
Aviary,4.0,-0.32814924561338926,$$ - $$$,False,51.52158,-0.085648,False,False,864,120.0,73.0,91.0,127.0,453.0,0.0,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,1,1,1,1,0
Victoria Taps,4.5,0.7211120136822641,$$ - $$$,False,51.493633,-0.141778,False,False,176,7.0,5.0,6.0,13.0,145.0,0.0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1
Sherlock Holmes,3.5,-1.3774105049090426,$$ - $$$,False,51.50735,-0.125216,False,False,3075,296.0,205.0,489.0,1143.0,944.0,0.0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,1,1,1,0
Ambassadors Clubhouse,4.0,-0.32814924561338926,$$$$,False,51.5111,-0.139792,False,False,44,6.0,2.0,5.0,7.0,24.0,1.0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1,1
