,name,rating,price_range,price_range_numeric,is_sponsored,latitude,longitude,has_delivery,is_premium,reviews,reviews_rating_1,reviews_rating_2,reviews_rating_3,reviews_rating_4,reviews_rating_5,IsIn_MICHELIN_Guide,is close to sightseeng,num_cuisines,Italian,American,Chinese,Healthy,Seafood,Middle Eastern,International,Indian,Central Asian,Bar,European,Pizza,Asian,Latin,Japanese,Cafe,British,French,Fast Food,African,Vegan,Halal/Kosher,Gluten-free,Vegetarian friendly,The menu does not match the diets,Parking,Free Wifi,Dog Friendly,Options for PWD, Has Diff Payment Options,Family,Good Location,Gift Cards,Alcohol,Reservations,Has Diff Dining Services,Entertainment
36,Comptoir Libanais London Bridge,4.5,$$ - $$$,2.5,0,51.504696,-0.083912,1,0,454,29.0,20.0,25.0,49.0,331.0,0.0,1,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,1,1,1,0
37,The Bike Shed,4.5,$$ - $$$,2.5,0,51.527115,-0.078876,0,0,754,16.0,26.0,56.0,179.0,477.0,0.0,0,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,1,0,1,1,0,0,0,1,1,1,0
38,Buddha Taste,5.0,$$ - $$$,2.5,1,51.4676,0.007758,0,1,7,0.0,0.0,0.0,1.0,6.0,0.0,0,5,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,1,1,1,0
39,Il Bordello,4.5,$$ - $$$,2.5,0,51.506615,-0.052638,1,0,1024,48.0,43.0,72.0,220.0,641.0,0.0,1,4,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,1,1,0,1,1,1,1,0
40,Riding House Fitzrovia,4.0,$$ - $$$,2.5,0,51.518314,-0.140572,0,0,1563,97.0,163.0,226.0,487.0,590.0,0.0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,1,1,0,0,0,1,1,1,0
41,The Ivy Kensington Brasserie,4.0,$$ - $$$,2.5,0,51.501488,-0.192334,0,0,1914,133.0,149.0,243.0,475.0,914.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,1,1,0,0,1,1,1,1,0
42,The Library at County Hall,4.5,$$ - $$$,2.5,0,51.501575,-0.119523,0,1,1493,25.0,38.0,69.0,158.0,1203.0,0.0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,1,1,0,1,1,0,0,1,1,1,1,0
43,Monmouth Kitchen,4.5,$$ - $$$,2.5,0,51.514076,-0.127036,0,0,1958,30.0,41.0,92.0,302.0,1493.0,0.0,1,4,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,0,0,0,1,1,1,1
44,The Portrait Restaurant By Richard Corrigan ,4.5,$$ - $$$,2.5,0,51.509224,-0.12759,0,0,114,3.0,4.0,11.0,20.0,76.0,0.0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,1,1,0,0,0,1,1,1,0
45,The Ship - Wandsworth,4.0,$$ - $$$,2.5,0,51.463654,-0.188055,0,0,572,53.0,40.0,56.0,154.0,269.0,0.0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,1,1,0
46,Grounded,4.5,$$ - $$$,2.5,0,51.516373,-0.069304,0,0,409,21.0,12.0,13.0,76.0,287.0,0.0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0
47,German Gymnasium Grand Café & Restaurant,4.0,$$ - $$$,2.5,0,51.53242,-0.125268,0,0,3089,140.0,193.0,427.0,862.0,1468.0,0.0,1,5,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,1,1,1,1,0
48,St. John,4.0,$$ - $$$,2.5,0,51.52047,-0.101481,0,0,1217,61.0,97.0,154.0,324.0,581.0,0.0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0
49,Faros Oxford Circus,5.0,$$ - $$$,2.5,1,51.516567,-0.140969,0,0,211,1.0,1.0,3.0,12.0,194.0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1,1,1,0,0,1,1,1,0
50,Barge East Restaurant,4.5,$$ - $$$,2.5,0,51.542187,-0.021024,0,0,865,23.0,16.0,27.0,58.0,741.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1
51,Cafe In The Crypt,4.0,$,1.0,0,51.509037,-0.126735,0,0,2461,78.0,115.0,312.0,1074.0,882.0,0.0,1,4,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,1,0,1,1,0,0,0,1,0,1,1
52,Luciano By Gino D'Acampo,4.0,$$ - $$$,2.5,0,51.512157,-0.11859,0,0,615,69.0,60.0,82.0,53.0,351.0,0.0,1,7,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,1,1,1,1,0
53,The Blackfriar,4.0,$$ - $$$,2.5,0,51.51213,-0.10371,0,0,1491,62.0,50.0,119.0,546.0,714.0,0.0,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,1,1,0
54,Darwin Brasserie,4.5,$$ - $$$,2.5,0,51.511185,-0.083557,0,0,8460,232.0,333.0,662.0,1730.0,5506.0,0.0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,1,1,1
55,Kitty Hawk Rooftop Bar & Restaurant,5.0,$$ - $$$,2.5,0,51.509315,-0.126847,0,0,39,0.0,1.0,1.0,0.0,37.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,1,1,1,0
56,Fenchurch Restaurant,4.5,$$$$,4.0,0,51.511215,-0.08355,1,0,1695,76.0,88.0,161.0,349.0,1021.0,0.0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,1,1,0,0,0,1,1,1,1
57,The Print House at Jim & Tonic East,4.0,$$ - $$$,2.5,0,51.53238,-0.008933,0,0,107,13.0,12.0,5.0,15.0,62.0,0.0,1,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,1,1,1
58,"The Red Lion, Parliament Street",4.0,$$ - $$$,2.5,0,51.502056,-0.125642,0,0,1673,118.0,48.0,179.0,664.0,664.0,0.0,1,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1,0
59,Delamina EAST,4.5,$$ - $$$,2.5,0,51.52119,-0.07554,1,0,465,7.0,9.0,22.0,93.0,334.0,0.0,1,4,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1,1,0,0,0,1,1,1,0
60,El Pirata of Mayfair,4.5,$$ - $$$,2.5,0,51.505146,-0.148217,1,0,1066,28.0,37.0,100.0,351.0,550.0,0.0,1,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0
61,Fallow St James's,4.0,$$ - $$$,2.5,0,51.50941,-0.132784,0,0,506,33.0,38.0,54.0,66.0,316.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0
62,Tattu London,4.5,$$$$,4.0,0,51.515617,-0.129925,0,1,2221,54.0,46.0,51.0,140.0,1930.0,0.0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,0,0,1,1,1,1,0
63,Candella,4.5,$$ - $$$,2.5,0,51.50408,-0.191919,0,0,237,16.0,5.0,18.0,42.0,156.0,0.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0
64,Bar + Block Steakhouse London Kings Cross,4.5,$$ - $$$,2.5,0,51.531868,-0.122159,0,0,1508,69.0,77.0,95.0,239.0,1028.0,0.0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,1,1,1,0
65,Fitzrovia,4.5,$$ - $$$,2.5,1,51.5198,-0.134695,0,0,250,10.0,10.0,14.0,40.0,176.0,0.0,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,1,1,1,0,0,1,1,1,1
66,The India 3 - Best of the City,5.0,$$ - $$$,2.5,0,51.51034,-0.083409,0,1,313,1.0,6.0,6.0,31.0,269.0,0.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0
67,Mango Indian,4.5,$$ - $$$,2.5,0,51.505028,-0.092887,0,0,616,31.0,18.0,40.0,143.0,384.0,0.0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,1,0,0,1,1,1,1,0
68,Cacio & Pepe,4.5,$$ - $$$,2.5,0,51.491188,-0.139249,0,0,536,12.0,17.0,39.0,127.0,341.0,0.0,1,6,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,0,0,0,1,1,1,0
69,Ciao Bella Restaurant,4.0,$$ - $$$,2.5,0,51.52293,-0.11913,0,0,1447,70.0,64.0,133.0,431.0,749.0,0.0,1,4,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,1,1,1
70,Palm Court Brasserie,4.5,$$ - $$$,2.5,0,51.51184,-0.1242,0,0,3102,65.0,106.0,222.0,884.0,1825.0,0.0,1,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,0,0,1,1,1,1
71,Forty Dean Street,4.0,$$ - $$$,2.5,1,51.51335,-0.132207,0,1,728,58.0,46.0,66.0,220.0,338.0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0
72,Jamie Oliver Catherine St,4.0,$$ - $$$,2.5,0,51.512615,-0.120114,0,0,212,15.0,40.0,30.0,25.0,103.0,0.0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,1,0
73,Bustronome London,5.0,$$$$,4.0,0,51.50806,-0.12141,0,1,522,6.0,2.0,9.0,34.0,472.0,0.0,1,6,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,1,1,1,0
74,BOKAN 38 Bar,4.0,$$ - $$$,2.5,0,51.501186,-0.023297,0,0,196,19.0,18.0,9.0,20.0,130.0,0.0,0,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,1,1,0
75,Lemonia Greek,4.0,$$ - $$$,2.5,0,51.541645,-0.156916,0,0,1108,53.0,74.0,126.0,359.0,496.0,0.0,1,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,1,1,0
76,Opera Tavern,4.5,$$ - $$$,2.5,0,51.51258,-0.120274,0,0,1298,31.0,41.0,128.0,375.0,723.0,0.0,1,4,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,1,1,1,0
77,Smokestak,4.5,$$ - $$$,2.5,0,51.523746,-0.072912,0,0,876,40.0,46.0,78.0,172.0,540.0,1.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,1,0
78,Bill's London Bridge,4.0,$$ - $$$,2.5,0,51.50697,-0.091532,0,0,1273,60.0,72.0,125.0,307.0,712.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,1,1,1,0,0,1,1,1,1,0
79,Trullo,4.0,$$ - $$$,2.5,0,51.546246,-0.101685,0,0,671,24.0,59.0,75.0,170.0,343.0,1.0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0
80,The Ivy Tower Bridge,3.5,$$ - $$$,2.5,0,51.504078,-0.07692,0,0,2024,241.0,249.0,278.0,382.0,874.0,0.0,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,1,0,1,1,0,0,1,1,1,1,0
81,Cicchetti,4.5,$$ - $$$,2.5,0,51.509468,-0.135013,1,0,3885,173.0,172.0,296.0,910.0,2334.0,0.0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,0,0,1,1,1,1,0
82,Sen Viet,4.5,$,1.0,0,51.529163,-0.11584,0,0,724,18.0,22.0,36.0,216.0,432.0,0.0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0
83,The Italian Greyhound,4.5,$$ - $$$,2.5,0,51.514416,-0.161126,0,0,672,16.0,24.0,58.0,167.0,407.0,0.0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,0,0,0,1,1,1,0
84,Aviary,4.0,$$ - $$$,2.5,0,51.52158,-0.085648,0,0,864,120.0,73.0,91.0,127.0,453.0,0.0,1,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,1,1,1,1,0
85,Victoria Taps,4.5,$$ - $$$,2.5,0,51.493633,-0.141778,0,0,176,7.0,5.0,6.0,13.0,145.0,0.0,1,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1
86,Sherlock Holmes,3.5,$$ - $$$,2.5,0,51.50735,-0.125216,0,0,3075,296.0,205.0,489.0,1143.0,944.0,0.0,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,1,1,1,0
87,Ambassadors Clubhouse,4.0,$$$$,4.0,0,51.5111,-0.139792,0,0,44,6.0,2.0,5.0,7.0,24.0,1.0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1,1
88,Lobos,4.5,$$ - $$$,2.5,0,51.50558,-0.089181,0,0,876,16.0,29.0,75.0,233.0,523.0,0.0,1,4,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,1,1,1,0
